Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,country,country codes
457,299,100,2,2.0,2.0,7.88,0,0.51,India,2
458,295,99,1,2.0,1.5,7.57,0,0.37,India,2
459,312,100,1,3.0,3.0,8.53,1,0.69,India,2
460,329,113,4,4.0,3.5,9.36,1,0.89,France,0
461,319,105,4,4.0,4.5,8.66,1,0.77,India,2
462,301,102,3,2.5,2.0,8.13,1,0.68,India,2
463,307,105,4,3.0,3.0,7.94,0,0.62,India,2
464,304,107,3,3.5,3.0,7.86,0,0.57,India,2
465,298,97,2,2.0,3.0,7.21,0,0.45,India,2
466,305,96,4,3.0,4.5,8.26,0,0.54,India,2
467,314,99,4,3.5,4.5,8.73,1,0.71,India,2
468,318,101,5,3.5,5.0,8.78,1,0.78,India,2
469,323,110,4,4.0,5.0,8.88,1,0.81,France,0
470,326,114,4,4.0,3.5,9.16,1,0.86,France,0
471,320,110,5,4.0,4.0,9.27,1,0.87,France,0
472,311,103,3,2.0,4.0,8.09,0,0.64,India,2
473,327,116,4,4.0,4.5,9.48,1,0.9,Great Britain,1
474,316,102,2,4.0,3.5,8.15,0,0.67,India,2
475,308,105,4,3.0,2.5,7.95,1,0.67,India,2
476,300,101,3,3.5,2.5,7.88,0,0.59,India,2
477,304,104,3,2.5,2.0,8.12,0,0.62,India,2
478,309,105,4,3.5,2.0,8.18,0,0.65,India,2
479,318,103,3,4.0,4.5,8.49,1,0.71,India,2
480,325,110,4,4.5,4.0,8.96,1,0.79,France,0
481,321,102,3,3.5,4.0,9.01,1,0.8,India,2
482,323,107,4,3.0,2.5,8.48,1,0.78,India,2
483,328,113,4,4.0,2.5,8.77,1,0.83,France,0
484,304,103,5,5.0,3.0,7.92,0,0.71,India,2
485,317,106,3,3.5,3.0,7.89,1,0.73,India,2
486,311,101,2,2.5,3.5,8.34,1,0.7,India,2
487,319,102,3,2.5,2.5,8.37,0,0.68,India,2
488,327,115,4,3.5,4.0,9.14,0,0.79,France,0
489,322,112,3,3.0,4.0,8.62,1,0.76,France,0
490,302,110,3,4.0,4.5,8.5,0,0.65,France,0
491,307,105,2,2.5,4.5,8.12,1,0.67,India,2
492,297,99,4,3.0,3.5,7.81,0,0.54,India,2
493,298,101,4,2.5,4.5,7.69,1,0.53,India,2
494,300,95,2,3.0,1.5,8.22,1,0.62,India,2
495,301,99,3,2.5,2.0,8.45,1,0.68,India,2
496,332,108,5,4.5,4.0,9.02,1,0.87,France,0
497,337,117,5,5.0,5.0,9.87,1,0.96,Great Britain,1
498,330,120,5,4.5,5.0,9.56,1,0.93,Great Britain,1
499,312,103,4,4.0,5.0,8.43,0,0.73,India,2
500,327,113,4,4.5,4.5,9.04,0,0.84,France,0
